"price","type","year","transmission","model","odometer","fuel","manufacturer","condition","state","lat","long","country"
7500,"limousine",2002,"automatic","e_klasse",93205.65,NA,"mercedes_benz",NA,"Nordrhein-Westfalen",51.9745,8.4686,"DE"
3300,"wagon",2006,"automatic","fortwo",77671.375,"diesel","smart","good","Nordrhein-Westfalen",52.0107,8.5926,"DE"
10500,"bus",2006,"automatic","vito",93205.65,"diesel","mercedes_benz","good","Nordrhein-Westfalen",52.0707,8.6002,"DE"
650,"limousine",1995,"manual","3er",93205.65,"petrol","bmw","bad","Nordrhein-Westfalen",52.0401,8.1527,"DE"
3300,"sedan",2006,"automatic","passat",93205.65,"diesel","volkswagen","good","Nordrhein-Westfalen",52.0401,8.1527,"DE"
3400,"wagon",2006,"manual","fox",43495.97,"petrol","volkswagen","good","Nordrhein-Westfalen",52.0601,8.3608,"DE"
800,"sedan",2002,"manual","mondeo",93205.65,"diesel","ford",NA,"Hessen",51.2667,9.5333,"DE"
950,"wagon",1995,"manual","polo",93205.65,"petrol","volkswagen","good","Hessen",51.2856,9.2717,"DE"
7500,"suv",2007,"automatic","sorento",3106.855,"petrol","kia",NA,"Hessen",51.3966,9.4702,"DE"
8500,"limousine",2010,"manual","golf",31068.55,"petrol","volkswagen","good","Hessen",51.6426,9.4548,"DE"
1400,NA,2016,"manual","andere",3106.855,NA,"hyundai",NA,"Hessen",51.3798,9.0145,"DE"
850,NA,1985,"manual","caddy",93205.65,"diesel","volkswagen",NA,"Hessen",51.409,9.1181,"DE"
800,"wagon",1998,"manual","clio",93205.65,"petrol","renault","good","Hessen",51.1815,8.8878,"DE"
2700,"wagon",2006,"manual","clio",77671.375,"petrol","renault","bad","Hessen",51.0638,9.22,"DE"
11000,"limousine",2012,"manual","astra",43495.97,"diesel","opel","good","Hessen",50.9333,9.2167,"DE"
1199,"suv",1992,"manual","andere",93205.65,"petrol","suzuki","good","Hessen",50.8098,8.7773,"DE"
800,"bus",2001,"automatic","andere",93205.65,"petrol","mazda","bad","Hessen",50.7765,8.7645,"DE"
500,"limousine",1990,"manual","andere",93205.65,"petrol","mercedes_benz","bad","Hessen",50.5849,8.6742,"DE"
0,NA,2005,NA,"polo",93205.65,"petrol","volkswagen",NA,"Hessen",50.5669,8.6538,"DE"
750,"sedan",1998,"manual","passat",93205.65,"diesel","volkswagen","good","Hessen",50.5167,8.7,"DE"
7700,"limousine",2009,"manual","3_reihe",93205.65,"diesel","mazda","good","Hessen",50.4339,8.6712,"DE"
13500,"bus",2012,"automatic","b_klasse",93205.65,"diesel","mercedes_benz","good","Hessen",50.5665,8.5247,"DE"
8250,"bus",2010,"manual","c_max",77671.375,"diesel","ford","good","Hessen",50.5362,8.407,"DE"
9290,"wagon",2010,"manual","polo",24854.84,"petrol","volkswagen","good","Hessen",50.6,8.3833,"DE"
900,NA,1995,"manual","civic",93205.65,"petrol","honda",NA,"Hessen",50.4314,8.3767,"DE"
6000,"coupe",1995,"manual","andere",93205.65,"petrol","mitsubishi","good","Hessen",50.5442,9.7179,"DE"
899,NA,2016,"manual","clio",93205.65,"petrol","renault",NA,"Niedersachsen",51.5509,9.9328,"DE"
900,"sedan",1999,"manual","c_klasse",93205.65,"diesel","mercedes_benz","good","Niedersachsen",51.4667,10.0333,"DE"
999,"sedan",1995,"manual","passat",93205.65,"petrol","volkswagen",NA,"Hessen",51.1839,10.0533,"DE"
600,"limousine",1994,"manual","escort",62137.1,"petrol","ford","bad","Thüringen",51.2395,10.2478,"DE"
0,"wagon",1999,NA,NA,3106.855,"petrol","volkswagen",NA,"Niedersachsen",51.7269,10.2509,"DE"
1700,"limousine",1999,"manual","golf",93205.65,"petrol","volkswagen","good","Niedersachsen",51.9658,9.5751,"DE"
3400,"bus",2000,"manual","sharan",93205.65,"diesel","volkswagen","good","Niedersachsen",52.0367,10.3097,"DE"
650,"sedan",2000,"manual","caddy",93205.65,"diesel","volkswagen",NA,"Niedersachsen",52.0367,10.3097,"DE"
4800,"convertible",1996,"manual","80",93205.65,"petrol","audi","good","Niedersachsen",52.1578,10.5579,"DE"
19750,"convertible",2006,"manual","mustang",31068.55,"petrol","ford","good","Niedersachsen",52.2279,11.0098,"DE"
1000,"wagon",1996,"manual","golf",93205.65,"petrol","volkswagen","good","Niedersachsen",51.9115,10.4319,"DE"
1200,"wagon",2002,"manual","lupo",93205.65,"petrol","volkswagen","good","Niedersachsen",51.8333,10.4333,"DE"
1450,"limousine",1992,"manual",NA,93205.65,NA,"audi","good","Niedersachsen",51.8281,10.2815,"DE"
8100,"convertible",2004,"automatic","z_reihe",93205.65,"petrol","bmw","good","Niedersachsen",51.891,10.1785,"DE"
300,NA,2016,NA,"polo",93205.65,"petrol","volkswagen",NA,"Sachsen-Anhalt",51.9209,10.7567,"DE"
1450,"limousine",1999,"manual","c_klasse",3106.855,NA,"mercedes_benz","good","Sachsen-Anhalt",52.0816,11.6212,"DE"
18000,"limousine",2007,"automatic","3er",12427.42,"petrol","bmw","good","Sachsen-Anhalt",52.2,11.6333,"DE"
3900,"sedan",2003,"manual","passat",93205.65,"petrol","volkswagen","good","Sachsen-Anhalt",52.0183,11.724,"DE"
1000,"limousine",1998,"manual","golf",93205.65,"petrol","volkswagen","good","Sachsen-Anhalt",52.638,11.4891,"DE"
2400,"limousine",2003,"manual","a4",93205.65,"diesel","audi",NA,"Nordrhein-Westfalen",51.2216,6.7897,"DE"
2300,"limousine",2000,"manual","c_klasse",93205.65,"petrol","mercedes_benz","good","Nordrhein-Westfalen",51.217,6.8254,"DE"
1,"limousine",1995,"manual","e_klasse",93205.65,"diesel","mercedes_benz","good","Nordrhein-Westfalen",51.1668,6.8253,"DE"
3250,"sedan",2003,"manual","a6",93205.65,"diesel","audi","good","Nordrhein-Westfalen",51.0916,6.8922,"DE"
3400,"bus",2003,"manual","touran",93205.65,"diesel","volkswagen",NA,"Nordrhein-Westfalen",51.1958,6.4387,"DE"
890,"limousine",2000,"manual","megane",93205.65,"petrol","renault","bad","Nordrhein-Westfalen",51.1911,6.4467,"DE"
1600,"sedan",1999,"manual",NA,93205.65,"petrol","bmw","good","Nordrhein-Westfalen",51.129,6.4386,"DE"
4500,NA,2016,NA,"fox",37282.26,NA,"volkswagen",NA,"Nordrhein-Westfalen",51.1682,6.6847,"DE"
