region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,county,state,lat,long
"quad cities, IA/IL",12500,2013.0,chevrolet,traverse,excellent,6 cylinders,gas,128325.0,clean,automatic,1GNKVGKD3DJ186191,4wd,,SUV,white,,il,41.9705,-91.6698
south jersey,11980,2014.0,honda,insight,,,gas,31943.0,clean,automatic,JHMZE2H70ES001875,fwd,,,,,nj,39.729,-75.0303
south jersey,18995,2017.0,gmc,terrain,,,gas,28328.0,clean,automatic,2GKFLTEK2H6112626,,,,,,nj,39.8945,-74.9373
"quad cities, IA/IL",16300,2017.0,jeep,renegade,excellent,4 cylinders,gas,40926.0,clean,automatic,ZACCJABB2HPF21435,fwd,,SUV,red,,il,41.9705,-91.6698
"quad cities, IA/IL",13990,2018.0,hyundai,elantra,excellent,4 cylinders,gas,31932.0,clean,automatic,5NPD84LF3JH219959,fwd,,sedan,red,,il,41.9705,-91.6698
"quad cities, IA/IL",6990,2005.0,chevrolet,tahoe,excellent,8 cylinders,gas,147485.0,clean,automatic,1GNEK13T75R148328,4wd,,SUV,silver,,il,41.9705,-91.6698
south jersey,18750,2018.0,buick,regal sportback,,,gas,20046.0,clean,automatic,W04GL6SX4J1091492,fwd,,,black,,nj,39.8945,-74.9373
south jersey,0,2007.0,infiniti,g35,,,gas,,clean,automatic,,,,,,,nj,40.068000000000005,-74.8454
south jersey,0,2013.0,dodge,avenger,,,gas,,clean,automatic,,,,,,,nj,40.068000000000005,-74.8454
south jersey,3000,1999.0,gmc,isuzu w4500,good,4 cylinders,diesel,249625.0,clean,automatic,,rwd,,,white,,nj,39.7013,-75.1279
south jersey,3950,2003.0,ram,1500,,,gas,,clean,automatic,,,,,,,nj,39.6211,-75.0458
south jersey,11950,2007.0,chevrolet,tahoe lt,like new,8 cylinders,gas,121000.0,clean,automatic,,4wd,full-size,SUV,,,nj,39.9511,-74.9946
south jersey,0,2008.0,toyota,,,,gas,,clean,automatic,,,,,,,nj,40.068000000000005,-74.8454
south jersey,0,2009.0,nissan,maxima,excellent,8 cylinders,gas,,clean,automatic,,,,,,,nj,40.068000000000005,-74.8454
south jersey,0,2012.0,buick,verano,excellent,,gas,,clean,automatic,,,,,,,nj,40.068000000000005,-74.8454
south jersey,30000,1971.0,pontiac,gto,,,gas,,clean,automatic,242371P141587,,,,,,nj,39.1378,-74.7806
south jersey,4400,2012.0,mini,hardtop,,4 cylinders,gas,148790.0,clean,automatic,WMWSU3C51CT541788,fwd,,coupe,red,,nj,40.4082,-74.3729
"quad cities, IA/IL",8000,2005.0,lexus,ls 430,excellent,8 cylinders,gas,116048.0,clean,automatic,JTHBN36FX55021003,rwd,,sedan,white,,il,41.9705,-91.6698
